id,text,Joy,Fear,Anger,Sadness,Disgust,Surprise,split
ukr_train_track1_00001,"вже майже час слухаю співи  , це справді шикарно*-*",1,0,0,0,0,0,train
ukr_train_track1_00002,нарешті вони всі знайшли своїх господарів)) Найгіршою виявилась пошта Москви.,1,0,0,0,0,0,train
ukr_train_track1_00003,"RT : княгині, сьогодні ваш день, зі святом! ;)",1,0,0,0,0,0,train
ukr_train_track1_00004,Одну тількино зустріла))) Таке миле творіння.,1,0,0,0,0,0,train
ukr_train_track1_00005,"Іноді навіть такі дрібниці радують
#хфактор",1,0,0,0,0,0,train
ukr_train_track1_00006," які там лайки,коли є Дача))",1,0,0,0,0,0,train
ukr_train_track1_00007,ну яка лінійка! зараз є лазерні рулетки)),1,0,0,0,0,0,train
ukr_train_track1_00008,"Укрпошта працює добре, дякую  за провірку бабусиних спогадів!",1,0,0,0,0,0,train
ukr_train_track1_00009,В мене вийшло останній місяць відпустити.,1,0,0,0,0,0,train
ukr_train_track1_00010," дякую, я воздіржусь, жахи мають бути жахливими, а не смішними))) словосполучення шина-вбивця у мене викликає напад сміху)))))",1,0,0,0,0,0,train
ukr_train_track1_00011,"В Тернополі в парку free Wi-Fi,приємна несподіванка!",1,0,0,0,0,0,train
ukr_train_track1_00012,"Чемпіонат дуже сподобався, з'явилися фаворити навіть.",1,0,0,0,0,0,train
ukr_train_track1_00013,Дякую marin_k_a за твій проект #365postcards і за цей чудовий магніт.,1,0,0,0,0,0,train
ukr_train_track1_00014,"Ласкаво прошу до нашого клубу, ми завжди раді новим, на жаль, страждаючим серцям",1,0,0,1,0,0,train
ukr_train_track1_00015,Чистого сонячного львівського неба і багато!,1,0,0,0,0,0,train
ukr_train_track1_00016,"паходу я консєрватор) але якшо прикрити на фоточці кросівки, то дуже лайк)",1,0,0,0,0,0,train
ukr_train_track1_00017," то я в тому сенсі, шо атлічно виглядаєш",1,0,0,0,0,0,train
ukr_train_track1_00018,"я просто мушу подякувати всім за цей вечір.
бо такого хорошого настрою у мене давно не було.",1,0,0,0,0,0,train
ukr_train_track1_00019,тепер можете мене вітати - мені дали роботу!,1,0,0,0,0,0,train
ukr_train_track1_00020,хаха))) мій дім - твій дім)),1,0,0,0,0,0,train
ukr_train_track1_00021,мені аби додому донести його:),1,0,0,0,0,0,train
ukr_train_track1_00022,"авввв*-*
хочу ще таких фоточок *-*",1,0,0,0,0,0,train
ukr_train_track1_00023,дивилася...якось в мене був період фільм про художників;) тепер раніма душа хоче вічної любові у кінострічках;),1,0,0,0,0,0,train
ukr_train_track1_00024,"Замучені і брудні, але задоволені.",1,0,0,0,0,0,train
ukr_train_track1_00025,"класненько, чорт візьми.
просто шикарно.",1,0,0,0,0,0,train
ukr_train_track1_00026,RT : Дякую зв'яківцям за зв'язок і вітаю зі святом!,1,0,0,0,0,0,train
ukr_train_track1_00027," а взагалі, не парься і відіщли їх до їхніх мужиків в цей день ;)",1,0,0,0,0,0,train
ukr_train_track1_00028,"Не дарма були всі ті роки, коли я була надто відірваною від реальності і здихала з голоду, коли залишалася вдома сама.",1,0,0,0,0,0,train
ukr_train_track1_00029,ти вже ощасливив своїм 21сантиметровим))),1,0,0,0,0,0,train
ukr_train_track1_00030," і в мого тата завтра день народження, святкування ;)",1,0,0,0,0,0,train
ukr_train_track1_00031,"якщо що, то зараз у мене чудовий настрій.
вже тиждень десь.",1,0,0,0,0,0,train
ukr_train_track1_00032," а я спішу на роботку) відвалялась свої 2,5 місяці)",1,0,0,0,0,0,train
ukr_train_track1_00033,"дякую, мені теж сподобалося як сіли.",1,0,0,0,0,0,train
ukr_train_track1_00034,потім полетіла окрилена натхненням пішки в Рясне,1,0,0,0,0,0,train
ukr_train_track1_00035,класний кліп! )))Оратанія - Хлопець кучерявий:  via,1,0,0,0,0,0,train
ukr_train_track1_00036,"в бабці пахне булочками і варенням з рожі, ватрушками з сиру)",1,0,0,0,0,0,train
ukr_train_track1_00037,"Вперше стриглась в чоловіка і вперше після стрижки, прямо в салоні дивилась на себе і думала: ну нічьосє, яка я красоточка :D",1,0,0,0,0,0,train
ukr_train_track1_00038,"Ранки із салатів - фруктових, овочевих, головне корисних і смачних:)",1,0,0,0,0,0,train
ukr_train_track1_00039,мені подарували нові Косси Порта Про :)) це чудово),1,0,0,0,0,0,train
ukr_train_track1_00040,"Приємна прохолода, хоч щось приємне за весь день.",1,0,0,0,0,0,train
ukr_train_track1_00041,приємно слухати пісні присвячені мені...)),1,0,0,0,0,0,train
ukr_train_track1_00042,"Передала на радіо вітання для Нати,надіюсь встигне прийти з магазину =)",1,0,0,0,0,0,train
ukr_train_track1_00043,з таким графіком...просто робота буде за щастя),1,0,0,0,0,0,train
ukr_train_track1_00044,"Прикольна акція в  iз сайтом booking.сom 
Нарахували 300 грн для використання у роумінгу.",1,0,0,0,0,0,train
ukr_train_track1_00045,таке класне перезавантаження мозгів :)),1,0,0,0,0,0,train
ukr_train_track1_00046," ой, таки стірала) але тре притертись, бо Вова то Вова, він мілашка, а в мене характер — агонь, я б з соьою не витримала)",1,0,0,0,0,0,train
ukr_train_track1_00047,"Доброго ранку, котики ^^
Усміхніться і проживіть цей день з задоволенням)",1,0,0,0,0,0,train
ukr_train_track1_00048,"капібари прикольні, дотогож одомашнені, тож можна додому собі купити",1,0,0,0,0,0,train
ukr_train_track1_00049, чудєсні. я думала спершу шо то листівку тобі надіслали,1,0,0,0,0,0,train
ukr_train_track1_00050,залікову сесію закрила і тішуся!,1,0,0,0,0,0,train
ukr_train_track1_00051,влюбилась в серіал з першої серії,1,0,0,0,0,0,train
ukr_train_track1_00052,дякую #vmcamp за #Луцьк і чудові вихідні!,1,0,0,0,0,0,train
ukr_train_track1_00053,"Дотягнула тонелі до 18мм
Сиджу довольна",1,0,0,0,0,0,train
ukr_train_track1_00054,"Як же шикарно, що у мене лише брати",1,0,0,0,0,0,train
ukr_train_track1_00055,а я сьогодні біжу до щастя:),1,0,0,0,0,0,train
ukr_train_track1_00056,"Минулий тиждень щасливих днів, подій, вина, вини і дна ;)",1,0,0,0,0,0,train
ukr_train_track1_00057,"О, то дуже класна маска!",1,0,0,0,0,0,train
ukr_train_track1_00058," дякую, а посмішку долі одну недавно отримала.",1,0,0,0,0,0,train
ukr_train_track1_00059,"І я буду, і маю сюрприз=))",1,0,0,0,0,0,train
ukr_train_track1_00060," хочу трохи закритися, таке внутрішнє бажання...хоча замочок нічого і не дає)",1,0,0,0,0,0,train
ukr_train_track1_00061,"Нуууу, да 
Але анубіс шикарнючий)",1,0,0,0,0,0,train
ukr_train_track1_00062, ну то вони до них і худнуть),1,0,0,0,0,0,train
ukr_train_track1_00063,бо смисл - відчути щастя хоча б трошки),1,0,0,0,0,0,train
ukr_train_track1_00064,"Знаючи французів, дико ржу з фільму ""Qu'est-ce qu'on a fait au Bon Dieu?""",1,0,0,0,0,0,train
ukr_train_track1_00065,сьогодні ночую в племяші - відісплюся!),1,0,0,0,0,0,train
ukr_train_track1_00066," бо думаю що це люди...хоча помітила, коли вони без голови, то не боюся;))",1,0,0,0,0,0,train
ukr_train_track1_00067,Дякую за можливість нарядитися і покрасуватися на ровері;),1,0,0,0,0,0,train
ukr_train_track1_00068,"Це найкраща погода в світі,і прокидатись бачачи у вікно її - мій особистий рай",1,0,0,0,0,0,train
ukr_train_track1_00069,"приємно, що батьки такі дорослі і самостіні: пішли собі чаю зробили ... знайшли Wish-list, знайшли подарунок, купили, привезли))",1,0,0,0,0,0,train
ukr_train_track1_00070,"Короче цьомаю, обнімаю, зі святом, сонечко 
Залишайся таким самим чудовим та талановитим, щастя, здоров'я, любові та натхнення тобі!",1,0,0,0,0,0,train
ukr_train_track1_00071,"Дякую тим людям, які зробили мій день!",1,0,0,0,0,0,train
ukr_train_track1_00072,"Для:
Посміхніться, тому що життя прекрасна річ, і є багато причин для посмішок.",1,0,0,0,0,0,train
ukr_train_track1_00073,о!Бабця мені наробила коралів:) такі всі модні!,1,0,0,0,0,0,train
ukr_train_track1_00074,В зоомагазині тепер працює такий шикарний хлопець,1,0,0,0,0,0,train
ukr_train_track1_00075,"Сонечка вам обом багато, як на цій світлині!",1,0,0,0,0,0,train
ukr_train_track1_00076,А головне м'ясо їсти з хлібом;),1,0,0,0,0,0,train
ukr_train_track1_00077,рівно рік тому переїхала на нову квартиру!,1,0,0,0,0,0,train
ukr_train_track1_00078,"Як же добре, що підчас нервів і міні депресій я не обжираюсь, а навпаки перестаю нормально їсти.",1,0,0,0,0,0,train
ukr_train_track1_00079,"Я з того ржала ще тижня два, ех, весело",1,0,0,0,0,0,train
ukr_train_track1_00080,"Але, божечко, як добре вдома.",1,0,0,0,0,0,train
ukr_train_track1_00081,"– У нас новий тур, дякую усім хто нас любить!",1,0,0,0,0,0,train
ukr_train_track1_00082,коли я вже виберуся до вас в гості!)),1,0,0,0,0,0,train
ukr_train_track1_00083,завтра напісяю всім причетним до цього іхіхіхі нищечком в чай.,1,0,0,0,0,0,train
ukr_train_track1_00084,в Петра серйозна екскурсійна програма у Днепрі)),1,0,0,0,0,0,train
ukr_train_track1_00085,"так і не зняла браслетик з фесту, бо це були надзвичайні вихідні, від яких ще довго будуть спогади.",1,0,0,0,0,0,train
ukr_train_track1_00086,Дякуєм  бо завдяки їй ми сьогодні в хостелі вип'ємо вино),1,0,0,0,0,0,train
ukr_train_track1_00087,"боже, то прекрасно! чого мені нічого не сниться(",1,0,0,1,0,0,train
ukr_train_track1_00088,Субота явно найкращий день тижня,1,0,0,0,0,0,train
ukr_train_track1_00089,"спатки йди, труся :з
гарних снів)",1,0,0,0,0,0,train
ukr_train_track1_00090," я не забуваю, на жаль...вони мені жити нормально не дають=)",1,0,0,0,0,0,train
ukr_train_track1_00091," дякую, що приїхав і привіз з собою іскри натхнення ;)",1,0,0,0,0,0,train
ukr_train_track1_00092,Трошки сонця в цей похмурий день…,1,0,0,0,0,0,train
ukr_train_track1_00093,Випадково натрапила на крутєйша канал українки.,1,0,0,0,0,0,train
ukr_train_track1_00094,"Вітаю! і бажаю лише дощу щастя, здоров""я і кохання!))",1,0,0,0,0,0,train
ukr_train_track1_00095,дуже дякую) це було чудово),1,0,0,0,0,0,train
ukr_train_track1_00096,"Чекаю на зустріч з  , бо буде багато обнімах",1,0,0,0,0,0,train
ukr_train_track1_00097,"  сенсей зацінив мої поетичні здібності, оце щастя) *ну, цигарку зігнути і обидва кінці до рота гг",1,0,0,0,0,0,train
