id,text,Joy,Fear,Anger,Sadness,Disgust,Surprise
ukr_train_track1_00001,"вже майже час слухаю співи  , це справді шикарно*-*",1,0,0,0,0,0
ukr_train_track1_00002,нарешті вони всі знайшли своїх господарів)) Найгіршою виявилась пошта Москви.,1,0,0,0,0,0
ukr_train_track1_00003,"RT : княгині, сьогодні ваш день, зі святом! ;)",1,0,0,0,0,0
ukr_train_track1_00004,Одну тількино зустріла))) Таке миле творіння.,1,0,0,0,0,0
ukr_train_track1_00005,"Іноді навіть такі дрібниці радують
#хфактор",1,0,0,0,0,0
ukr_train_track1_00006," які там лайки,коли є Дача))",1,0,0,0,0,0
ukr_train_track1_00007,ну яка лінійка! зараз є лазерні рулетки)),1,0,0,0,0,0
ukr_train_track1_00008,"Укрпошта працює добре, дякую  за провірку бабусиних спогадів!",1,0,0,0,0,0
ukr_train_track1_00009,В мене вийшло останній місяць відпустити.,1,0,0,0,0,0
ukr_train_track1_00010," дякую, я воздіржусь, жахи мають бути жахливими, а не смішними))) словосполучення шина-вбивця у мене викликає напад сміху)))))",1,0,0,0,0,0
ukr_train_track1_00011,"В Тернополі в парку free Wi-Fi,приємна несподіванка!",1,0,0,0,0,0
ukr_train_track1_00012,"Чемпіонат дуже сподобався, з'явилися фаворити навіть.",1,0,0,0,0,0
ukr_train_track1_00013,Дякую marin_k_a за твій проект #365postcards і за цей чудовий магніт.,1,0,0,0,0,0
ukr_train_track1_00014,"Ласкаво прошу до нашого клубу, ми завжди раді новим, на жаль, страждаючим серцям",1,0,0,1,0,0
ukr_train_track1_00015,Чистого сонячного львівського неба і багато!,1,0,0,0,0,0
ukr_train_track1_00016,"паходу я консєрватор) але якшо прикрити на фоточці кросівки, то дуже лайк)",1,0,0,0,0,0
ukr_train_track1_00017," то я в тому сенсі, шо атлічно виглядаєш",1,0,0,0,0,0
ukr_train_track1_00018,"я просто мушу подякувати всім за цей вечір.
бо такого хорошого настрою у мене давно не було.",1,0,0,0,0,0
ukr_train_track1_00019,тепер можете мене вітати - мені дали роботу!,1,0,0,0,0,0
ukr_train_track1_00020,хаха))) мій дім - твій дім)),1,0,0,0,0,0
ukr_train_track1_00021,мені аби додому донести його:),1,0,0,0,0,0
ukr_train_track1_00022,"авввв*-*
хочу ще таких фоточок *-*",1,0,0,0,0,0
ukr_train_track1_00023,дивилася...якось в мене був період фільм про художників;) тепер раніма душа хоче вічної любові у кінострічках;),1,0,0,0,0,0
ukr_train_track1_00024,"Замучені і брудні, але задоволені.",1,0,0,0,0,0
ukr_train_track1_00025,"класненько, чорт візьми.
просто шикарно.",1,0,0,0,0,0
ukr_train_track1_00026,RT : Дякую зв'яківцям за зв'язок і вітаю зі святом!,1,0,0,0,0,0
ukr_train_track1_00027," а взагалі, не парься і відіщли їх до їхніх мужиків в цей день ;)",1,0,0,0,0,0
ukr_train_track1_00028,"Не дарма були всі ті роки, коли я була надто відірваною від реальності і здихала з голоду, коли залишалася вдома сама.",1,0,0,0,0,0
ukr_train_track1_00029,ти вже ощасливив своїм 21сантиметровим))),1,0,0,0,0,0
ukr_train_track1_00030," і в мого тата завтра день народження, святкування ;)",1,0,0,0,0,0
ukr_train_track1_00031,"якщо що, то зараз у мене чудовий настрій.
вже тиждень десь.",1,0,0,0,0,0
ukr_train_track1_00032," а я спішу на роботку) відвалялась свої 2,5 місяці)",1,0,0,0,0,0
ukr_train_track1_00033,"дякую, мені теж сподобалося як сіли.",1,0,0,0,0,0
